city,Y,X,admin_name,capital,population
Minsk,53.9,27.5667,Minsk,primary,2009786
Homyel’,52.4453,30.9842,Homyel’skaya Voblasts’,admin,510300
Vitsyebsk,55.1917,30.2056,Vitsyebskaya Voblasts’,admin,366299
Mahilyow,53.9167,30.35,Mahilyowskaya Voblasts’,admin,357100
Hrodna,53.6667,23.8333,Hrodzyenskaya Voblasts’,admin,357493
Brest,52.1347,23.6569,Brestskaya Voblasts’,admin,340723
Babruysk,53.15,29.2333,Mahilyowskaya Voblasts’,minor,212200
Baranavichy,53.1333,26.0167,Brestskaya Voblasts’,minor,174183
Horad Barysaw,54.2279,28.505,Minskaya Voblasts’,minor,155389
Pinsk,52.1153,26.1031,Brestskaya Voblasts’,minor,125900
Orsha,54.5092,30.4258,Vitsyebskaya Voblasts’,minor,117225
Navapolatsk,55.5333,28.65,Vitsyebskaya Voblasts’,,108000
Salihorsk,52.8,27.5333,Minskaya Voblasts’,minor,106627
Mazyr,52.05,29.2667,Homyel’skaya Voblasts’,minor,105439
Lida,53.8833,25.3,Hrodzyenskaya Voblasts’,,103479
Horad Zhodzina,54.1,28.35,Minskaya Voblasts’,minor,65451
Maladzyechna,54.3208,26.8572,Minskaya Voblasts’,minor,91063
Polatsk,55.4833,28.8,Vitsyebskaya Voblasts’,minor,82547
Zhlobin,52.9,30.0333,Homyel’skaya Voblasts’,minor,76078
Rechytsa,52.3639,30.3947,Homyel’skaya Voblasts’,minor,66400
Svyetlahorsk,52.6333,29.7333,Homyel’skaya Voblasts’,minor,64989
Slutsk,53.0333,27.5667,Minskaya Voblasts’,minor,61396
Kobryn,52.2167,24.3667,Brestskaya Voblasts’,minor,52843
Slonim,53.0833,25.3167,Hrodzyenskaya Voblasts’,minor,49830
Vawkavysk,53.1667,24.4667,Hrodzyenskaya Voblasts’,minor,42746
Kalinkavichy,52.125,29.3333,Homyel’skaya Voblasts’,minor,37633
Smarhon’,54.4836,26.4,Hrodzyenskaya Voblasts’,minor,36202
Rahachow,53.1,30.05,Homyel’skaya Voblasts’,minor,33702
Horki,54.2667,30.9833,Mahilyowskaya Voblasts’,minor,30390
Asipovichy,53.2933,28.4756,Mahilyowskaya Voblasts’,minor,29981
Dzyarzhynsk,53.6833,27.1333,Minskaya Voblasts’,,29863
Byaroza,52.55,24.9667,Brestskaya Voblasts’,minor,28619
Navahrudak,53.5833,25.8167,Hrodzyenskaya Voblasts’,,28199
Vilyeyka,54.498,26.926,Minskaya Voblasts’,minor,27167
Krychaw,53.7194,31.7139,Mahilyowskaya Voblasts’,minor,24170
Luninyets,52.25,26.8,Brestskaya Voblasts’,minor,23734
Ivatsevichy,52.7167,25.3333,Brestskaya Voblasts’,minor,22958
Mar’’ina Horka,53.5167,28.1417,Minskaya Voblasts’,,20592
Pastavy,55.1167,26.8333,Vitsyebskaya Voblasts’,minor,19153
Pruzhany,52.5567,24.4644,Brestskaya Voblasts’,minor,19032
Dobrush,52.4167,31.3167,Homyel’skaya Voblasts’,minor,18311
Hlybokaye,55.1333,27.6833,Vitsyebskaya Voblasts’,minor,17790
Zaslawye,54.0083,27.2847,Minskaya Voblasts’,,17701
Fanipal,53.75,27.3333,Minskaya Voblasts’,,17507
Stowbtsy,53.4833,26.7333,Minskaya Voblasts’,,17496
Lyepyel,54.875,28.6944,Vitsyebskaya Voblasts’,,17280
Shklow,54.2236,30.2864,Mahilyowskaya Voblasts’,minor,17064
Bykhaw,53.5167,30.25,Mahilyowskaya Voblasts’,minor,17031
Ashmyany,54.425,25.9375,Hrodzyenskaya Voblasts’,minor,16979
Horad Smalyavichy,54.1,28.0667,Minskaya Voblasts’,minor,16594
Zhytkavichy,52.2333,27.8667,Homyel’skaya Voblasts’,minor,16600
Ivanava,52.1333,25.55,Brestskaya Voblasts’,minor,16498
Kastsyukovichy,53.3333,32.05,Mahilyowskaya Voblasts’,minor,15993
Shchuchyn,53.6167,24.7333,Hrodzyenskaya Voblasts’,minor,15475
Lahoysk,54.2,27.85,Minskaya Voblasts’,minor,15442
Klimavichy,53.6167,31.95,Mahilyowskaya Voblasts’,minor,15408
Masty,53.417,24.55,Hrodzyenskaya Voblasts’,minor,15197
Drahichyn,52.1833,25.15,Brestskaya Voblasts’,,14963
Astravyets,54.6136,25.9553,Hrodzyenskaya Voblasts’,minor,14641
Zhabinka,52.2006,24.0233,Brestskaya Voblasts’,minor,14577
Nyasvizh,53.2167,26.6667,Minskaya Voblasts’,minor,14300
Hantsavichy,52.75,26.4333,Brestskaya Voblasts’,minor,14043
Khoyniki,51.8892,29.9644,Homyel’skaya Voblasts’,minor,13439
Stolin,51.8833,26.85,Brestskaya Voblasts’,,13290
Malaryta,51.7833,24.0833,Brestskaya Voblasts’,minor,12883
Mikashevichy,52.2203,27.4736,Brestskaya Voblasts’,,12771
Novalukoml,54.6569,29.15,Vitsyebskaya Voblasts’,,12439
Haradok,55.4667,30,Vitsyebskaya Voblasts’,minor,11814
Lyuban,52.7819,28.0525,Minskaya Voblasts’,minor,11654
Klyetsk,53.0636,26.6372,Minskaya Voblasts’,minor,11462
Byerazino,53.8333,28.9833,Minskaya Voblasts’,,11462
Staryya Darohi,53.0394,28.265,Minskaya Voblasts’,minor,11198
Byelaazyorsk,52.45,25.1667,Brestskaya Voblasts’,,11115
Lyakhavichy,53.0333,26.2667,Brestskaya Voblasts’,minor,10997
